"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"137",395,"MSB","Fish specimens","MSB:Fish:727",32,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.188761,-106.64706,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, 0.75 mile below Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1949,7,28,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:46:37.0","impact","1941-1950","impact_1941-1950",5
"152",487,"MSB","Fish specimens","MSB:Fish:3651",15,"Pimephales promelas","Cyprinidae","whole organism (5% buffered formalin)",NA,34.952692,-106.686161,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, 9 miles south of Albuquerque, ca 130 meters upstream of Interstate 25 bridge, just north of the Isleta Pueblo Reservation.",NA,"",1959,6,9,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 5% FORMALIN","2019-05-27 03:07:12.0","impact","1951-1960","impact_1951-1960",5
"162",390,"MSB","Fish specimens","MSB:Fish:632",15,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.987044,-106.690293,3466,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, ca 4 kilometers upstream of Interstate 25 bridge, in vicinity of Pajarito Community in South Valley, an unicorporated section of Albuquerque.",NA,"",1959,2,5,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:41:58.0","impact","1951-1960","impact_1951-1960",5
"171",391,"MSB","Fish specimens","MSB:Fish:680",66,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.987044,-106.690293,3466,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, ca 4 kilometers upstream of Interstate 25 bridge, in vicinity of Pajarito Community in South Valley, an unicorporated section of Albuquerque.",NA,"",1959,2,24,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:41:59.0","impact","1951-1960","impact_1951-1960",5
"192",555,"MSB","Fish specimens","MSB:Fish:1069",43,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.051774,-106.671997,4148,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, in the South Valley, an unicorporated section of Albuquerque.",NA,"",1963,2,22,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:37:38.0","impact","1961-1970","impact_1961-1970",5
"252",511,"MSB","Fish specimens","MSB:Fish:4114",129,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1977,5,13,"Collector(s): Charles W. Painter, E. W. Hansman, D. Earp","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, E. W. Hansman, D. Earp","2019-05-27 03:10:10.0","impact","1971-1980","impact_1971-1980",5
"232",540,"MSB","Fish specimens","MSB:Fish:4031",20,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.859396,-106.720148,500,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, 1.2 kilometer south of Valencia County line, ca. 6.4 kilometers north of NM HWY 6, Los Lunas.",NA,"",1977,9,30,"Collector(s): Charles W. Painter, D. L. Chavez, Robert P. Reynolds","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, Robert P. Reynolds","2019-05-27 03:38:34.0","impact","1971-1980","impact_1971-1980",5
"302",514,"MSB","Fish specimens","MSB:Fish:4425",997,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,8,3,"Collector(s): Charles W. Painter, S. P. Gloss","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, S. P. Gloss","2019-05-27 03:13:18.0","impact","1971-1980","impact_1971-1980",5
"262",513,"MSB","Fish specimens","MSB:Fish:4157",341,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1977,8,5,"Collector(s): Charles W. Painter, D. L. Chavez, D. Schneider","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. Schneider","2019-05-27 03:13:15.0","impact","1971-1980","impact_1971-1980",5
"224",539,"MSB","Fish specimens","MSB:Fish:4174",121,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.859396,-106.720148,500,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, 1.2 kilometer south of Valencia County line, ca. 6.4 kilometers north of NM HWY 6, Los Lunas.",NA,"",1977,8,4,"Collector(s): Charles W. Painter, D. L. Chavez, D. Schneider","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. Schneider","2019-05-27 03:25:55.0","impact","1971-1980","impact_1971-1980",5
"312",515,"MSB","Fish specimens","MSB:Fish:4380",293,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,9,23,"Collector(s): Charles W. Painter, David W. Reducker, David J. Hafner","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. W. Reduker, David J. Hafner","2019-05-27 03:25:56.0","impact","1971-1980","impact_1971-1980",5
"272",476,"MSB","Fish specimens","MSB:Fish:4781",17,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.133568,-106.693327,287,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"An oxbow lake off Rio Grande, northeast of St Pius X High School grounds, formerly the University of Albuquerque, off NM State HWY 448.",NA,"",1977,8,4,"Collector(s): Charles W. Painter","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 76-W; Storage: 70% EtOH, 76-W;","2019-05-27 02:11:28.0","impact","1971-1980","impact_1971-1980",5
"322",473,"MSB","Fish specimens","MSB:Fish:4391",23,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.986117,-106.686021,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at Pajarito.",NA,"",1978,8,16,"Collector(s): Charles W. Painter, S. P. Gloss","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, S. P. Gloss","2019-05-27 02:45:06.0","impact","1971-1980","impact_1971-1980",5
"332",392,"MSB","Fish specimens","MSB:Fish:4223",10,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.987044,-106.690293,3466,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, ca 4 kilometers upstream of Interstate 25 bridge, in vicinity of Pajarito Community in South Valley, an unicorporated section of Albuquerque.",NA,"",1978,8,16,"Collector(s): Charles W. Painter, S. P. Gloss","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, S. P. Gloss","2019-05-27 03:38:34.0","impact","1971-1980","impact_1971-1980",5
"215",463,"MSB","Fish specimens","MSB:Fish:4101",20,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.857048,-106.719821,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, adj. to entrance of Belen Westway Irrigation Canal, ~4 mi north Los Lunas.",NA,"",1977,5,12,"Collector(s): Charles W. Painter, E. W. Hansman, D. Earp","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, E. W. Hansman, D. Earp","2019-05-27 03:16:22.0","impact","1971-1980","impact_1971-1980",5
"492",510,"MSB","Fish specimens","MSB:Fish:9048",6204,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1990,10,29,"Collector(s): Steven P. Platania, Brooks M. Burr","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 03:04:15.0","impact","1981-1990","impact_1981-1990",5
"461",592,"MSB","Fish specimens","MSB:Fish:7258",27,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.014147,-106.665834,320,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Barr Canal, ca. 0.3 kilometers south of Mary Avenue SW, south end of Albuquerque",NA,"",1989,11,20,"Collector(s): Christopher S. Altenbach, J. Scott Altenbach","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Christopher S. Altenbach, J. Scott Altenbach","2019-05-27 03:23:03.0","impact","1981-1990","impact_1981-1990",5
"482",460,"MSB","Fish specimens","MSB:Fish:7206",410,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.205042,-106.609081,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Alameda Drain, at Montano Road and Second Street or NM State HWY 47, Albuquerque.",NA,"",1989,11,4,"Collector(s): Christopher S. Altenbach, Douglas A. Young","not recorded",NA,"PreservedSpecimen","verbatim collectors: Christopher S. Altenbach, Douglas A. Young","2019-05-27 03:32:33.0","impact","1981-1990","impact_1981-1990",5
"391",508,"MSB","Fish specimens","MSB:Fish:5817",39,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1987,9,10,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 02:34:02.0","impact","1981-1990","impact_1981-1990",5
"421",591,"MSB","Fish specimens","MSB:Fish:6303",25,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.014147,-106.665834,320,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Barr Canal, ca. 0.3 kilometers south of Mary Avenue SW, south end of Albuquerque",NA,"",1988,11,15,"Collector(s): Christopher S. Altenbach, J. Scott Altenbach","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Christopher S. Altenbach, J. Scott Altenbach","2019-05-27 02:42:34.0","impact","1981-1990","impact_1981-1990",5
"451",608,"MSB","Fish specimens","MSB:Fish:7235",181,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.994298,-106.678945,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Barr Canal, just south of Clark Road SW crossing, south end of Albuquerque",NA,"",1989,11,12,"Collector(s): Christopher S. Altenbach","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 03:26:01.0","impact","1981-1990","impact_1981-1990",5
"381",564,"MSB","Fish specimens","MSB:Fish:5828",31,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.875039,-106.717581,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, east of Bosque Farms at end of NM State HWY 147",NA,"",1987,9,10,"Collector(s): Kevin R. Bestgen, Steven P. Platania","not recorded",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 02:34:02.0","impact","1981-1990","impact_1981-1990",5
"471",614,"MSB","Fish specimens","MSB:Fish:7252",16,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.017903,-106.661847,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Barr Canal, just south of North street crossing, South Albuquerque",NA,"",1989,11,19,"Collector(s): Christopher S. Altenbach, J. Scott Altenbach","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Christopher S. Altenbach, J. Scott Altenbach","2019-05-27 03:29:22.0","impact","1981-1990","impact_1981-1990",5
"512",528,"MSB","Fish specimens","MSB:Fish:8990",18,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"",1990,10,28,"Collector(s): Steven P. Platania, Brooks M. Burr","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 03:04:19.0","impact","1981-1990","impact_1981-1990",5
"501",517,"MSB","Fish specimens","MSB:Fish:7917",521,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1990,8,8,"Collector(s): Steven P. Platania, Brooks M. Burr, Christopher S. Altenbach","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr, Christopher S. Altenbach","2019-05-27 03:29:21.0","impact","1981-1990","impact_1981-1990",5
"84",573,"MSB","Fish specimens","MSB:Fish:12041",223,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.10469444,-106.6916667,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at I-40 bridge, Albuquerque.",NA,"",1992,9,29,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:30:22.0","impact","1991-2000","impact_1991-2000",5
"145",482,"MSB","Fish specimens","MSB:Fish:19595",16,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.85683333,-106.7208056,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at a beaver pond adjacent to the river, 4.8 miles downstream of Isleta Diversion dam.",NA,"",1994,10,10,"Collector(s): Steven P. Platania, Christopher S. Altenbach, James P. Larson","not recorded",NA,"PreservedSpecimen","Miscellaneous 1994 MSB Fish Collections; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, James P. Larson","2019-05-27 03:10:42.0","impact","1991-2000","impact_1991-2000",5
"188",429,"MSB","Fish specimens","MSB:Fish:30474",42,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.13539167,-106.6684167,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Montano Bridge crossing on Montano Road, Albuquerque.",NA,".5 meters",1996,6,25,"Collector(s): Robert K. Dudley, Christopher S. Altenbach, W. H. Brandenburg","GeoLocate",NA,"PreservedSpecimen","MSB 1995-96 Monitoring of Rio Grande, Montano Bridge Construction Area; verbatim collectors: Robert K. Dudley, Christopher S. Altenbach, W. Howard Brandenburg","2019-05-27 04:57:33.0","impact","1991-2000","impact_1991-2000",5
"180",472,"MSB","Fish specimens","MSB:Fish:30239",17,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.96486111,-106.6824167,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at US Interstate 25 bridge, south of Albuquerque.",NA,"1 meter",1996,5,15,"Collector(s): Steven P. Platania, Robert K. Dudley, W. H. Brandenburg","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Robert K. Dudley, W. Howard Brandenburg; SHALLOW WATER DURING THIS DROUGHT","2019-05-27 04:49:07.0","impact","1991-2000","impact_1991-2000",5
"62",569,"MSB","Fish specimens","MSB:Fish:11248",246,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.85683333,-106.7208056,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, ca. 4.8 miles downstream of Isleta Diversion Dam, Isleta Pueblo.",NA,"",1992,7,28,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:45:14.0","impact","1991-2000","impact_1991-2000",5
"167",583,"MSB","Fish specimens","MSB:Fish:25484",12,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"1.5 meters",1995,10,24,"Collector(s): Steven P. Platania, Gregory M. Lein, Robert K. Dudley","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, Robert K. Dudley","2019-05-27 04:51:44.0","impact","1991-2000","impact_1991-2000",5
"174",438,"MSB","Fish specimens","MSB:Fish:30033",10,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.13539167,-106.6684167,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Montano Bridge crossing on Montano Road, Albuquerque.",NA,"1.5 meters",1995,10,24,"Collector(s): Steven P. Platania, Gregory M. Lein, Robert K. Dudley","GeoLocate",NA,"PreservedSpecimen","MSB 1995-96 Monitoring of Rio Grande, Montano Bridge Construction Area; verbatim collectors: Steven P. Platania, Gregory M. Lein, Robert K. Dudley","2019-05-27 05:00:23.0","impact","1991-2000","impact_1991-2000",5
"168",586,"MSB","Fish specimens","MSB:Fish:25047",53,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"1.5 meters",1995,8,3,"Collector(s): Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach, B. M. Sanchez","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach, B. M. Sanchez, ; SAMPLED WITH BLANE SANCHEZ FROM ISLETA PUEBLO","2019-05-27 05:24:35.0","impact","1991-2000","impact_1991-2000",5
"212",432,"MSB","Fish specimens","MSB:Fish:43076",20,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,".6 meters",1999,2,16,"Collector(s): Robert K. Dudley, W. H. Brandenburg, Stephen R. Davenport","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Robert K. Dudley, W. Howard Brandenburg, Stephen R. Davenport","2019-05-27 05:11:45.0","impact","1991-2000","impact_1991-2000",5
"213",552,"MSB","Fish specimens","MSB:Fish:43245",18,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"1.5 meters",1999,7,15,"Collector(s): Steven P. Platania, Robert K. Dudley, Joshua R. Walters","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Robert K. Dudley, Joshua R. Walters","2019-05-27 05:25:32.0","impact","1991-2000","impact_1991-2000",5
"223",576,"MSB","Fish specimens","MSB:Fish:94735",10,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.881889,-106.717445,90,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Isleta Riverside Drain, at Alejandro Gates, 2.7 miles downstream of Isleta Diversion Dam, Isleta Pueblo.",NA,"",2013,5,28,"Collector(s): Thomas P. Archdeacon, Tristan J. Austring","GeoLocate",NA,"PreservedSpecimen","NMFWCO Rio Grande Silvery Minnow 2013 Augmentation Program; verbatim collectors: Thomas P. Archdeacon, Tristan J. Austring; Collection made in dried channel and pool.","2019-05-27 07:00:22.0","impact","2011-2020","impact_2011-2020",5
